IssuerSize,NoBonds,OAS,Warf,DWexEurope,Europe,EuropePeriphery,Automotive,BasicIndustry,CapitalGoods,ConsumerGoods,Healthcare,Leisure,Media,Retail,Services,TechnologyElectronics,Telecommunication,Transportation
1044.9,2,1157.03334701347,2220,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1400.0,2,1184.65522688575,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
928.5,2,1127.82093803296,1766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
650.0,1,923.559594256307,940,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
650.0,1,992.994261284399,3490,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
400.0,1,1204.31366529635,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1695.4,2,1093.20391681092,940,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
830.8,2,1120.70122652755,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325.5,3,961.825054219461,940,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
580.0,1,1286.76751620012,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000.0,4,1293.45158142589,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400.0,3,853.784356151867,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129.0,2,921.842080899335,1350,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
450.0,1,1191.36736668619,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
350.0,1,3151.356484527374,1766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300.0,1,2548.71386908987,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,2135.40214665271,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285.0,1,3151.356484527374,3490,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
341.7,1,2989.64595210562,2720,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
495.0,1,3038.838674073,2720,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
250.0,1,3151.356484527374,2220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283.8,1,3151.356484527374,2220,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250.0,1,3151.356484527374,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,3151.356484527374,3490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250.0,1,2722.69849562782,3490,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
375.0,1,3151.356484527374,3490,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
570.0,1,3151.356484527374,1350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,2891.63624747557,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400.0,1,3151.356484527374,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300.0,1,2529.6375039566,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274.0,1,2905.87562894321,3490,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
450.0,1,2679.79756310061,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1021.16100239256,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1645.82706062631,1350,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
683.8,1,1618.52648454881,1350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
300.0,1,2173.35525566415,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1644.59773070547,2720,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250.0,1,1921.17656397564,2720,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250.0,1,1594.11950458529,2720,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400.0,1,1281.31593047061,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.0,1,2201.25024700076,2720,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
600.0,1,1187.81840943302,940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
260.0,1,738.256417954213,1350,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1716.47526894234,1350,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
285.0,1,2192.43946515828,3490,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
250.0,1,1521.56089793749,2720,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
425.0,1,1266.38021529707,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350.0,1,2148.59773070547,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
400.0,1,1112.09388316339,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1058.71417135128,1766,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
250.0,1,1644.5153659859,2220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
509.8,1,1118.50982588481,940,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
250.0,1,2101.76648190402,2720,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350.0,1,1918.20164049803,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297.7,1,1414.55841927315,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
437.5,1,1252.38554324275,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300.0,1,2033.83911222825,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300.0,1,1919.53328675327,1766,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
374.9,1,1919.11363024925,3490,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
325.0,1,1437.66694404486,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250.0,1,1225.89397574489,3490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250.0,1,829.309261513024,1350,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250.0,1,807.977083224477,940,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300.0,1,1287.39534261704,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1619.87392221027,3490,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250.0,1,1200.56769900637,940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
508.1,1,1330.93437459254,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275.0,1,1424.25228430641,2220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260.0,1,1089.179097974,2720,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250.0,1,1196.38244413329,940,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
250.0,1,804.994846317333,1766,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
620.0,1,1008.38981668566,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470.0,1,1193.76265577704,2220,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
250.0,1,919.750561249256,1766,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300.0,1,1006.50668225228,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,725.339510863803,1766,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
424.1,1,1788.61773180143,3490,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255.9,1,1075.58110450973,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,788.092292479784,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.0,1,854.980490228579,2220,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250.0,1,1718.02819693129,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268.4,1,1304.77668373307,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,650.944835428919,1766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
300.0,1,1082.15540381095,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275.0,1,1280.27424724762,3490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276.1,1,1032.56831338323,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.0,1,1605.33380735798,2220,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2450.0,1,569.967376772193,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480.0,1,1390.12385090263,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
494.2,1,940.645926954618,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,1010.75898867775,940,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
485.0,1,967.265408768686,3490,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
300.0,1,985.414575063045,940,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
300.0,1,1213.77648633929,1766,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
260.7,1,862.270809875276,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.0,1,1383.0269635229,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400.0,1,1104.59572861201,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414.4,1,1428.89379626282,2720,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
608.1,1,811.004016072008,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,972.856432535682,2720,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
400.0,1,1247.646158227,1350,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
311.3,1,1055.7083712933,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600.0,1,766.235522151357,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400.0,1,607.579909852913,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300.0,1,944.764784949517,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.0,1,1327.7641907912,1350,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
671.2,1,990.240752651193,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304.0,1,1481.4646281282,3490,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325.0,1,763.692106245466,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250.0,1,630.549603849956,2720,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
250.0,1,393.996162743707,1350,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
350.0,1,1143.60987871051,3490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525.0,1,841.290793063292,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284.4,1,1130.97886538307,2720,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
330.0,1,970.482422133633,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373.6,1,1425.20046274631,2720,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
550.0,1,685.351844379858,1766,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300.0,1,805.193505278726,2220,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
491.3,1,239.398596951766,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.0,1,1361.53303815588,2720,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
250.0,1,715.882179199739,2720,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300.0,1,605.065985747007,1350,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
580.0,1,990.562249783767,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600.0,1,1335.33101187239,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.0,1,1124.22394723298,1350,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
330.0,1,1063.13927979782,1350,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
500.0,2,1273.67979452733,2220,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350.0,1,882.587449787871,1350,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
400.0,1,1053.53592386935,1766,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
350.0,1,719.578567513602,940,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
357.5,1,1268.24510100822,2720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.0,1,1023.90431212094,2720,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
400.0,1,983.961217076591,1766,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
320.0,1,815.300855118637,3490,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
